,match_id,match_date,home_team,away_team,home_score,away_score,team,player,pass_recipient,timestamp,period,minute,X_pass_start,Y_pass_start,X_pass_end,Y_pass_end,shot_outcome,player_id,type,X,Y,color,round_minute,penalty
2549,3869685,2022-12-18,Argentina,France,3,3,Argentina,Nicolás Hernán Otamendi,Enzo Fernandez,2023-12-16 00:13:29.414,1,13.483333333333333,22.3,23.0,31.3,26.0,,,,,,,14,No
207,3869151,2022-12-03,Argentina,Australia,2,1,Argentina,Enzo Fernandez,Nicolás Hernán Otamendi,2023-12-16 00:13:30.179,1,13.5,42.6,47.3,38.5,24.3,,,,,,,14,No
11532,3857279,2022-11-22,France,Australia,4,1,France,Dayotchanculle Upamecano,Ibrahima Konaté,2023-12-16 00:13:30.966,1,13.5,30.2,5.7,33.1,48.0,,,,,,,14,No
10552,3869152,2022-12-04,France,Poland,3,1,France,Dayotchanculle Upamecano,Adrien Rabiot,2023-12-16 00:13:30.020,1,13.5,40.3,2.3,37.0,2.3,,,,,,,14,No
5839,3869519,2022-12-13,Argentina,Croatia,3,0,Croatia,Joško Gvardiol,Dejan Lovren,2023-12-16 00:13:30.268,1,13.5,24.8,21.7,25.0,50.9,,,,,,,14,No
2550,3869685,2022-12-18,Argentina,France,3,3,Argentina,Enzo Fernandez,Nicolás Hernán Otamendi,2023-12-16 00:13:30.285,1,13.5,31.5,26.0,23.6,19.6,,,,,,,14,No
8740,3869354,2022-12-10,England,France,1,2,England,Luke Shaw,Harry Maguire,2023-12-16 00:13:30.008,1,13.5,86.2,3.0,68.8,7.7,,,,,,,14,No
9662,3869552,2022-12-14,France,Morocco,2,0,Morocco,Achraf Hakimi Mouh,Hakim Ziyech,2023-12-16 00:13:31.668,1,13.516666666666667,66.5,74.0,71.1,77.7,,,,,,,14,No
208,3869151,2022-12-03,Argentina,Australia,2,1,Argentina,Nicolás Hernán Otamendi,Marcos Javier Acuña,2023-12-16 00:13:31.657,1,13.516666666666667,38.2,23.2,45.0,5.1,,,,,,,14,No
3678,3857264,2022-11-30,Poland,Argentina,0,2,Poland,Krystian Bielik,Piotr Zieliński,2023-12-16 00:13:31.156,1,13.516666666666667,47.4,50.4,65.5,56.2,,,,,,,14,No
7727,3857266,2022-11-26,France,Denmark,2,1,Denmark,Victor Nelsson,Andreas Christensen,2023-12-16 00:13:31.207,1,13.516666666666667,49.1,27.4,39.3,34.5,,,,,,,14,No
5840,3869519,2022-12-13,Argentina,Croatia,3,0,Croatia,Dejan Lovren,Luka Modrić,2023-12-16 00:13:32.475,1,13.533333333333333,25.0,50.9,30.5,62.3,,,,,,,14,No
3679,3857264,2022-11-30,Poland,Argentina,0,2,Poland,Piotr Zieliński,Matty Cash,2023-12-16 00:13:32.055,1,13.533333333333333,65.5,56.2,69.8,70.3,,,,,,,14,No
2551,3869685,2022-12-18,Argentina,France,3,3,Argentina,Nicolás Hernán Otamendi,Cristian Gabriel Romero,2023-12-16 00:13:32.228,1,13.533333333333333,23.4,21.5,14.8,51.3,,,,,,,14,No
8741,3869354,2022-12-10,England,France,1,2,England,Harry Maguire,Declan Rice,2023-12-16 00:13:34.633,1,13.566666666666666,68.6,7.5,69.2,27.5,,,,,,,14,No
3680,3857264,2022-11-30,Poland,Argentina,0,2,Poland,Matty Cash,Kamil Glik,2023-12-16 00:13:34.244,1,13.566666666666666,70.8,74.5,44.1,65.7,,,,,,,14,No
209,3869151,2022-12-03,Argentina,Australia,2,1,Argentina,Marcos Javier Acuña,Nicolás Hernán Otamendi,2023-12-16 00:13:35.228,1,13.583333333333334,46.8,3.4,33.3,14.2,,,,,,,14,No
8742,3869354,2022-12-10,England,France,1,2,England,Declan Rice,John Stones,2023-12-16 00:13:35.525,1,13.583333333333334,69.2,27.5,52.0,29.5,,,,,,,14,No
2552,3869685,2022-12-18,Argentina,France,3,3,Argentina,Cristian Gabriel Romero,Julián Álvarez,2023-12-16 00:13:35.222,1,13.583333333333334,16.5,55.1,57.8,43.8,,,,,,,14,No
6764,3857300,2022-11-22,Argentina,Saudi Arabia,1,2,Saudi Arabia,Yasir Gharsan Al Shahrani,Abdulelah Saad Hameed Al-Malki,2023-12-16 00:13:36.302,1,13.6,24.6,0.1,28.6,8.3,,,,,,,14,No
9663,3869552,2022-12-14,France,Morocco,2,0,Morocco,Hakim Ziyech,Romain Saïss,2023-12-16 00:13:36.808,1,13.6,57.3,77.1,44.2,51.3,,,,,,,14,No
3681,3857264,2022-11-30,Poland,Argentina,0,2,Poland,Kamil Glik,Piotr Zieliński,2023-12-16 00:13:36.244,1,13.6,44.0,65.4,48.0,65.2,,,,,,,14,No
11533,3857279,2022-11-22,France,Australia,4,1,France,Ibrahima Konaté,Aurélien Djani Tchouaméni,2023-12-16 00:13:36.346,1,13.6,44.0,52.7,54.9,45.1,,,,,,,14,No
1324,3869321,2022-12-09,Netherlands,Argentina,2,2,Netherlands,Frenkie de Jong,Marten de Roon,2023-12-16 00:13:36.097,1,13.6,68.6,29.2,64.4,38.4,,,,,,,14,No
5841,3869519,2022-12-13,Argentina,Croatia,3,0,Croatia,Luka Modrić,Dejan Lovren,2023-12-16 00:13:37.045,1,13.616666666666667,30.2,65.8,26.8,52.3,,,,,,,14,No
